 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    365    12    31  2001     91       0  rtu0910                0.000       0.000       0.000       0.000       8.804       0.000       0.000       0.000       0.000       0.000       0.000      29.642       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     92       0  rtu0920                3.950   22751.961       0.000     393.935       8.708       0.000     160.293     280.099     161.710       0.768       0.204      21.660       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     93       0  rtu0930                0.735   26824.457       0.000    3509.367       6.983       0.000     125.205     399.033      29.108       0.015       0.148      15.168       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001     94       0  rtu0940                2.540   14393.836       0.000     221.320       9.024       0.000     117.059     158.822      94.249       0.113       0.117      37.422       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     95       0  rtu0950                0.582   28201.611       0.000    2730.236       8.281       0.000     178.971     260.341       0.500       0.039       0.189      81.760       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     96       0  rtu0960                0.288   21698.279       0.000    3237.576       8.028       0.000     136.484     148.767      18.209       0.000       0.057      33.804       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001     97       0  rtu0970                3.950   22761.104       0.000     397.044       8.709       0.000     158.104     280.099     161.956       0.786       0.203      20.152       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001     98       0  rtu0980                0.631   37894.023       0.000    7198.912       6.952       0.000      10.580     399.033      46.916       0.000       0.151       3.870       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001     99       0  rtu0990                1.667   23902.855       0.000     934.266       8.229       0.000      83.723     260.339      17.491       0.496       0.293      30.567       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001    100       0  rtu1000                3.951   22284.748       0.000     341.175       9.228       0.000     190.961     247.055     146.689       0.028       0.181      54.395       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001    101       0  rtu1010                0.000       0.000       0.000       0.000       8.722       0.000       0.000       0.000       0.000       0.000       0.000      13.646       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001    102       0  rtu1020                0.471   29032.830       0.000    5315.123       7.190       0.000      48.727     284.867      29.917       0.000       0.131       8.743       0.000      10.506       4.769       7.638       9.195       0.000       0.000       0.379
    365    12    31  2001    103       0  rtu1030                0.631   37747.688       0.000    7054.649       7.011       0.000     199.306     399.033      47.883       0.000       0.150      40.833       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    104       0  rtu1040                3.952   22846.760       0.000     369.647       8.302       0.000     172.786     260.341      61.219       0.877       0.628     108.871       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001    105       0  rtu1050                0.740   26354.203       0.000    3261.862       6.999       0.000     144.681     399.033      29.156       0.019       0.148      26.157       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    106       0  rtu1060                0.531   34409.781       0.000    4591.828       8.180       0.000     228.255     260.341      27.434       0.021       0.105      30.660       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001    107       0  rtu1070                0.504   38217.031       0.000    5782.706       8.250       0.000     155.243     260.341       1.140       0.018       0.250      69.834       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001    108       0  rtu1080                3.950   21908.061       0.000     369.374       8.805       0.000     210.152     280.099     161.408       0.027       0.201      41.088       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    109       0  rtu1090                2.371   14229.174       0.000     229.737       8.762       1.314      44.177     148.233      86.921       0.962       0.113       5.318       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001    110       0  rtu1100                0.631   37575.957       0.000    6898.052       7.054       0.000     290.973     399.033      51.278       0.000       0.143      58.307       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    111       0  rtu1110                3.951   22964.029       0.000     371.282       8.989       0.000     125.161     251.607     146.725       0.851       0.193      23.415       0.000      12.235       6.498       9.367      10.025       0.000       0.000       0.433
    365    12    31  2001    112       0  rtu1120                0.641   23488.828       0.000    1237.708       8.097       0.000     110.341     275.751       2.759       0.039       0.151      24.904       0.000      11.314       5.577       8.445       9.029       0.000       0.000       0.428
    365    12    31  2001    113       0  rtu1130                0.702   22197.420       0.000    1278.460       8.424       0.000     226.045     280.099      25.640       0.043       0.129      43.522       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    114       0  rtu1140                0.000       0.000       0.000       0.000       8.103       0.000       0.000       0.000       0.000       0.000       0.000      94.518       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001    115       0  rtu1150                0.664   34325.605       0.000    5987.010       6.975       0.000     123.018     399.037      41.633       0.005       0.149      15.559       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    116       0  rtu1160                0.751   25303.033       0.000    2956.628       6.966       0.000      47.783     399.033      26.769       0.021       0.148       6.147       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    117       0  rtu1170                0.504   38122.078       0.000    5697.768       7.889       0.000      18.282     260.341      26.410       0.000       0.127       5.988       0.000      11.443       5.706       8.574       9.029       0.000       0.000       0.435
    365    12    31  2001    118       0  rtu1180                0.631   37876.273       0.000    6764.131       7.271       0.000     221.465     399.033      20.307       0.000       0.216      32.189       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    119       0  rtu1190                0.631   38031.426       0.000    6899.692       7.195       0.000     140.609     399.033      17.673       0.000       0.224      10.288       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    120       0  rtu1200                0.631   37834.867       0.000    6740.165       7.277       0.000     203.423     399.033      19.526       0.000       0.218      44.840       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    121       0  rtu1210                0.420   25287.168       0.000    4750.862       6.951       0.000      38.123     266.024      26.488       0.000       0.112       6.902       0.000      10.282       4.545       7.413       9.029       0.000       0.000       0.374
    365    12    31  2001    122       0  rtu1220                0.565   38609.168       0.000    6161.083       8.513       0.000      24.366     280.099       7.537       0.000       0.265       5.484       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    123       0  rtu1230                0.565   38607.992       0.000    6159.666       8.515       0.000      44.555     280.099       7.595       0.000       0.264       6.914       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    124       0  rtu1240                0.641   30320.098       0.000    3414.240       8.461       0.000     114.003     280.102      20.688       0.049       0.187      27.224       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    125       0  rtu1250                3.950   22015.875       0.000     371.113       8.799       0.000     225.751     280.102     161.283       0.205       0.203      45.292       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    126       0  rtu1260                3.950   23668.232       0.000     410.904       8.717       0.000     142.083     280.102     143.855       1.320       0.301      23.053       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    127       0  rtu1270                3.950   26228.053       0.000     450.044       8.760       0.000     100.103     280.099      90.107       3.217       0.565      20.639       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
    365    12    31  2001    128       0  rtu1280                3.950   22965.004       0.000     400.283       8.683       0.000     148.062     280.099     161.803       0.938       0.205      16.970       0.000      11.629       5.892       8.761      10.025       0.000       0.000       0.403
