 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2001     104       0  rtu1040                0.000       0.000      12.911       7.191       0.000       0.000            0.000          167.323          638.200            7.872           49.768           62.795           36.349            0.000            0.000
   365    12    31  2001     105       0  rtu1050                0.000       0.000       2.749      -0.592       0.000       0.000            0.000           51.821          351.012            4.478           27.359           10.646           10.137            0.000            0.000
   365    12    31  2001     106       0  rtu1060                0.000       0.000       4.736       2.626       0.000       0.000            0.000           18.356          189.472            2.411           14.839           20.443           13.993            0.000            0.000
   365    12    31  2001     107       0  rtu1070                0.000       0.000      11.143       6.218       0.000       0.000            0.000          144.926          625.060            8.035           48.623          111.164           18.088            0.000            0.000
   365    12    31  2001     108       0  rtu1080                0.000       0.000       7.382       4.180       0.000       0.000            0.000           23.846          190.984            2.361           15.119            0.352           35.482            0.000            0.000
   365    12    31  2001     109       0  rtu1090                0.000       0.000       3.676       2.233       0.000       0.000            0.000            3.229          148.570            2.530           11.681            0.182           21.437            0.000            0.000
   365    12    31  2001     110       0  rtu1100                0.000       0.000       4.867      -0.288       0.000       0.000            0.000          158.150          390.034            4.266           30.462           30.944           25.300            0.000            0.000
   365    12    31  2001     111       0  rtu1110                0.000       0.000       5.988       3.605       0.000       0.000            0.000           13.631          174.994            2.420           13.836            0.343           35.083            0.000            0.000
   365    12    31  2001     112       0  rtu1120                0.000       0.000       7.537       4.291       0.000       0.000            0.000           87.530          569.632            7.774           44.246           98.050            0.518            0.000            0.000
   365    12    31  2001     113       0  rtu1130                0.000       0.000       2.049      -0.709       0.000       0.000            0.000          133.009          364.922            4.377           28.361            0.067            1.430            0.000            0.000
   365    12    31  2001     114       0  rtu1140                0.000       0.000       7.976       4.007       0.000       0.000            0.000          220.446          572.888            8.165           44.494            0.000            0.000            0.000            0.000
   365    12    31  2001     115       0  rtu1150                0.000       0.000       3.649      -0.545       0.000       0.000            0.000           27.875          343.284            4.526           26.816           24.573           20.715            0.000            0.000
   365    12    31  2001     116       0  rtu1160                0.000       0.000       2.299      -0.686       0.000       0.000            0.000            0.067          330.812            4.594           25.790            8.134            8.624            0.000            0.000
   365    12    31  2001     117       0  rtu1170                0.000       0.000       2.763      -0.647       0.000       0.000            0.000            0.000          330.587            4.605           25.811           23.680           18.065            0.000            0.000
   365    12    31  2001     118       0  rtu1180                0.000       0.000       6.661       1.758       0.000       0.000            0.000           71.221          395.942            5.026           30.919           46.800           25.411            0.000            0.000
   365    12    31  2001     119       0  rtu1190                0.000       0.000       6.039       1.319       0.000       0.000            0.000           16.116          373.734            5.060           29.203           45.947           25.441            0.000            0.000
   365    12    31  2001     120       0  rtu1200                0.000       0.000       6.728       1.791       0.000       0.000            0.000           84.451          399.883            5.010           31.227           47.096           25.406            0.000            0.000
   365    12    31  2001     121       0  rtu1210                0.000       0.000       3.529      -0.360       0.000       0.000            0.000            0.866          334.855            4.622           26.129           22.632           16.908            0.000            0.000
   365    12    31  2001     122       0  rtu1220                0.000       0.000       4.469       1.052       0.000       0.000            0.000            0.000          373.033            5.166           29.117           47.191           20.015            0.000            0.000
