 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2005      15     150  aqu150                  101.119          2.948        352.575        132.981         18.250         10.990          7.248          0.000          0.000          0.000          2.934          0.000          2.085          0.376        101.119          0.000        101.119
   365    12    31  2005      16     160  aqu160                   95.376          2.949        352.555        121.403         18.250         10.990          8.333          0.000          0.000          0.000          3.167          0.000          2.257          0.432         95.376          0.000         95.376
   365    12    31  2005      17     170  aqu170                  103.807          2.952        352.408        135.822         18.250         11.285          9.000          0.000          0.000          0.000          3.695          0.000          2.654          0.467        103.807          0.000        103.807
   365    12    31  2005      18     180  aqu180                   97.866          2.957        352.165        122.402         18.250         10.924         12.800          0.000          0.000          0.000          4.824          0.000          3.560          0.664         97.866          0.000         97.866
   365    12    31  2005      19     190  aqu190                   92.062          2.954        352.320        117.995         18.250         11.285         10.836          0.000          0.000          0.000          3.935          0.000          2.838          0.562         92.062          0.000         92.062
   365    12    31  2005      20     200  aqu200                  152.149          2.947        352.636        181.339         18.250         10.924         15.331          0.000          0.000          0.000          7.748          0.000          6.630          0.795        152.149          0.000        152.149
   365    12    31  2005      21      17  aqu_deep17                0.000         16.648       2500.559         18.250          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2006       1      10  aqu010                   97.671          2.959        352.062        128.264         18.250         11.499          9.967          0.000          0.000          0.000          3.636          0.000          2.772          0.517         97.671          0.000         97.671
   365    12    31  2006       2      20  aqu020                   77.217          2.965        351.763        109.770         18.250         11.499         11.232          0.000          0.000          0.000          3.614          0.000          2.456          0.583         77.217          0.000         77.217
   365    12    31  2006       3      30  aqu030                   92.141          2.960        351.994        125.356         18.250         11.499         10.493          0.000          0.000          0.000          3.649          0.000          2.756          0.545         92.141          0.000         92.141
