 LLYFNI2                  
  SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                  
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2010     324    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     325    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     326    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     327    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     328    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     329    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     330    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     331    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     333    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     334    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010     337    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     338    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     339    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     340    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     341    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     342    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     343    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     344    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     345    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     346    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     347    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     348    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     349    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     350    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     351    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     352    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     353    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     354    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     355    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     356    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     357    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     358    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     359    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     360    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     361    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     362    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     363    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     364    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     365    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     366    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     367    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     368    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     369    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     370    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     371    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     372    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     373    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     374    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     375    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     376    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     377    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     378    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     379    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     380    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     381    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     382    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     383    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     384    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     385    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     386    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     387    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     388    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     389    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     390    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     391    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     392    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     393    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     394    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     395    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     396    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     397    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     398    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     399    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     400    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     401    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     402    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     403    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     404    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     405    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     406    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     407    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     408    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     409    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     410    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     411    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     412    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     413    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     414    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     415    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     416    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     417    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     418    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     419    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     420    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     421    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     422    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     423    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     424    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     425    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     426    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     427    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     428    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     429    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     430    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     431    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     432    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     433    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     434    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     435    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     436    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     437    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     438    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     439    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     440    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     441    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     442    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     443    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     444    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     445    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     446    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     447    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     448    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     449    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     450    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     451    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010     452    past                        0.000       0.000       0.000       0.000
   365    12    31  2010     453    past                        0.000       0.000       0.000       0.000
