 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001    137       0  rtu1370                0.050       0.342       0.022       0.355       0.000       0.002       0.000       0.001       0.000
    365    12    31  2001    138       0  rtu1380                0.028       0.298       0.017       0.219       0.000       0.001       0.000       0.001       0.000
    365    12    31  2001    139       0  rtu1390                0.120       0.367       0.048       0.142       0.000       0.044       0.000       0.003       0.000
    365    12    31  2001    140       0  rtu1400                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    141       0  rtu1410                0.011       0.070       0.004       0.037       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    142       0  rtu1420               25.478       5.868       0.326       0.059       0.000       0.000       0.000       0.008       0.000
    365    12    31  2001    143       0  rtu1430               25.660       7.999       0.446       0.196       0.000       0.000       0.000       0.012       0.000
    365    12    31  2001    144       0  rtu1440                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    145       0  rtu1450                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    146       0  rtu1460                0.073       0.570       0.047       0.534       0.000       0.050       0.000       0.002       0.000
    365    12    31  2001    147       0  rtu1470                0.036       0.282       0.017       0.209       0.000       0.001       0.000       0.001       0.000
    365    12    31  2001    148       0  rtu1480                0.004       0.017       0.001       0.201       0.000       0.018       0.000       0.000       0.000
    365    12    31  2001    149       0  rtu1490                0.068       0.512       0.034       0.060       0.000       0.001       0.000       0.002       0.000
    365    12    31  2001    150       0  rtu1500                0.107       1.120       0.072       0.777       0.000       0.020       0.000       0.003       0.000
    365    12    31  2001    151       0  rtu1510                0.059       0.601       0.049       0.239       0.000       0.048       0.000       0.001       0.000
    365    12    31  2001    152       0  rtu1520                0.158       0.442       0.062       0.172       0.000       0.050       0.000       0.004       0.000
    365    12    31  2001    153       0  rtu1530                0.148       0.409       0.057       0.141       0.000       0.040       0.000       0.004       0.000
    365    12    31  2001    154       0  rtu1540                0.088       0.773       0.047       0.716       0.000       0.003       0.000       0.002       0.000
    365    12    31  2001    155       0  rtu1550                0.058       0.164       0.022       0.035       0.000       0.016       0.000       0.001       0.000
    365    12    31  2001    156       0  rtu1560                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    157       0  rtu1570                0.065       0.667       0.039       0.404       0.000       0.001       0.000       0.002       0.000
    365    12    31  2001    158       0  rtu1580                0.143       0.387       0.054       0.129       0.000       0.044       0.000       0.003       0.000
    365    12    31  2001    159       0  rtu1590                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    160       0  rtu1600                0.103       0.281       0.039       0.089       0.000       0.031       0.000       0.002       0.000
    365    12    31  2001    161       0  rtu1610                0.280       0.777       0.110       0.313       0.000       0.086       0.000       0.007       0.000
    365    12    31  2001    162       0  rtu1620                0.095       0.254       0.036       0.095       0.000       0.031       0.000       0.002       0.000
    365    12    31  2001    163       0  rtu1630                0.226       0.599       0.084       0.163       0.000       0.058       0.000       0.005       0.000
    365    12    31  2001    164       0  rtu1640                0.050       0.231       0.024       0.077       0.000       0.023       0.000       0.001       0.000
    365    12    31  2001    165       0  rtu1650                0.110       0.301       0.042       0.109       0.000       0.038       0.000       0.003       0.000
    365    12    31  2001    166       0  rtu1660                0.029       0.270       0.016       0.140       0.000       0.001       0.000       0.001       0.000
    365    12    31  2001    167       0  rtu1670                0.022       0.136       0.011       0.012       0.000       0.002       0.000       0.001       0.000
    365    12    31  2001    168       0  rtu1680                0.256       0.712       0.100       0.323       0.000       0.088       0.000       0.006       0.000
    365    12    31  2001    169       0  rtu1690                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    170       0  rtu1700                0.065       0.537       0.035       0.134       0.000       0.002       0.000       0.002       0.000
    365    12    31  2001    171       0  rtu1710                0.103       0.955       0.059       0.240       0.000       0.004       0.000       0.003       0.000
    365    12    31  2001    172       0  rtu1720                0.115       0.311       0.043       0.153       0.000       0.047       0.000       0.003       0.000
    365    12    31  2001    173       0  rtu1730                0.061       0.302       0.030       0.105       0.000       0.032       0.000       0.001       0.000
    365    12    31  2001    174       0  rtu1740                0.133       0.440       0.055       0.134       0.000       0.044       0.000       0.003       0.000
    365    12    31  2001    175       0  rtu1750                0.194       0.517       0.072       0.165       0.000       0.055       0.000       0.005       0.000
    365    12    31  2001    176       0  rtu1760               56.706       8.447       0.470       0.052       0.000       0.000       0.000       0.010       0.000
    365    12    31  2001    177       0  rtu1770                0.013       0.090       0.007       0.160       0.000       0.020       0.000       0.000       0.000
    365    12    31  2001    178       0  rtu1780                0.042       0.139       0.017       0.086       0.000       0.024       0.000       0.001       0.000
    365    12    31  2001    179       0  rtu1790                0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    365    12    31  2001    180       0  rtu1800                0.033       0.331       0.019       0.168       0.000       0.001       0.000       0.001       0.000
    365    12    31  2001    181       0  rtu1810                0.034       0.356       0.021       0.240       0.000       0.003       0.000       0.001       0.000
    365    12    31  2001    182       0  rtu1820                0.015       0.153       0.009       0.077       0.000       0.000       0.000       0.000       0.000
